origin,destination,count
ATL,BHM,2871
ATL,BOS,5990
ATL,JFK,1915
ATL,LAS,4766
ATL,LAX,5406
ATL,LGA,10506
ATL,MDW,3256
ATL,MSY,4695
ATL,OAK,90
ATL,ORD,7677
ATL,SEA,2574
ATL,SFO,3462
SEA,ATL,2571
SEA,BOS,980
SEA,BUR,1390
SEA,JFK,1852
SEA,LAS,5051
SEA,LAX,6865
SEA,LGB,1500
SEA,MDW,1361
SEA,OAK,5095
SEA,ORD,4608
SEA,SFO,5409
SFO,ATL,3098
SFO,DEN,5374
SFO,EUG,1923
SFO,JFK,6971
SFO,LAS,7007
SFO,LAX,13788
SFO,ORD,5746
SFO,SEA,5414
SFO,SJC,1
SFO,SNA,3955
SFO,RNO,1234

